primary_key,account,account_type,transaction_date,transaction_type,amount,net_amount,recurring_sum,mode,category,notes,narration,reference
HS012026CR0001,HDFC,SAVINGS,01-01-2026,CREDIT,60000,60000,60000,Bank,Salary,Monthly salary,Salary credited,TXN1001
HS012026DE0001,HDFC,SAVINGS,02-01-2026,DEBIT,1200,-1200,58800,UPI,Food,Lunch,Swiggy order,TXN1002
HS012026DE0001,HDFC,SAVINGS,03-01-2026,DEBIT,2500,-2500,56300,Card,Shopping,Clothes,Zudio purchase,TXN1003
HS012026DE0001,HDFC,SAVINGS,04-01-2026,DEBIT,15000,-15000,41300,Auto Debit,Rent,House rent,Rent payment,TXN1004
IC012026DE0001,ICICI,CREDIT CARD,05-01-2026,DEBIT,4500,-4500,36800,Card,Electronics,Headphones,Amazon order,TXN1005
IC012026DE0001,ICICI,CREDIT CARD,06-01-2026,DEBIT,300,-300,36500,Wallet,Travel,Auto fare,Local commute,TXN1006
HS012026DE0001,HDFC,SAVINGS,07-01-2026,DEBIT,800,-800,35700,UPI,Subscription,Netflix,Monthly subscription,TXN1007
HS012026DE0001,HDFC,SAVINGS,08-01-2026,DEBIT,1000,-1000,34700,Auto Debit,EMI,Loan EMI,EMI payment,TXN1008
HS012026DE0001,HDFC,SAVINGS,09-01-2026,DEBIT,500,-500,34200,Cash,Grocery,Fruits,Local market,TXN1009
IC012026DE0001,ICICI,CREDIT CARD,10-01-2026,DEBIT,700,-700,33500,Card,Food,Cafe,Coffee bill,TXN1010
